Address:,USB0::0x0957::0x1754::MY44002304::0::INSTR,,Analog Channels,,,
Model:,MSO6104A,,Time (s),1 (VOLT),4 (VOLT),
,,,1.015,2.18500006198883,2.18125019595027,
,,,1.02,2.15625005960464,2.15000019967556,
,,,1.025,2.18500006198883,2.18125019595027,
,,,1.03,2.15625005960464,2.15000019967556,
,,,1.035,2.15625005960464,2.15000019967556,
,,,1.04,2.12750005722046,2.15000019967556,
,,,1.045,2.15625005960464,2.15000019967556,
,,,1.05,2.18500006198883,2.15000019967556,
,,,1.055,2.15625005960464,2.18125019595027,
,,,1.06,2.12750005722046,2.15000019967556,
,,,1.065,2.15625005960464,2.15000019967556,
,,,1.07,2.15625005960464,2.15000019967556,
,,,1.075,2.15625005960464,2.15000019967556,
,,,1.08,2.15625005960464,2.11875020340085,
,,,1.085,2.15625005960464,2.15000019967556,
,,,1.09,2.18500006198883,2.15000019967556,
,,,1.095,2.15625005960464,2.15000019967556,
,,,1.1,2.12750005722046,2.15000019967556,
,,,1.105,2.15625005960464,2.15000019967556,
,,,1.11,2.15625005960464,2.15000019967556,
,,,1.115,2.18500006198883,2.15000019967556,
,,,1.12,2.18500006198883,2.11875020340085,
,,,1.125,2.12750005722046,2.15000019967556,
,,,1.13,2.12750005722046,2.15000019967556,
,,,1.135,2.15625005960464,2.11875020340085,
,,,1.14,2.15625005960464,2.15000019967556,
,,,1.145,2.18500006198883,2.15000019967556,
,,,1.15,2.15625005960464,2.15000019967556,
,,,1.155,2.15625005960464,2.15000019967556,
,,,1.16,2.18500006198883,2.21250019222498,
,,,1.165,2.12750005722046,2.15000019967556,
,,,1.17,2.15625005960464,2.18125019595027,
,,,1.175,2.15625005960464,2.15000019967556,
,,,1.18,2.18500006198883,2.18125019595027,
,,,1.185,2.18500006198883,2.18125019595027,
,,,1.19,2.18500006198883,2.15000019967556,
,,,1.195,2.15625005960464,2.11875020340085,
,,,1.2,2.18500006198883,2.18125019595027,
,,,1.205,2.18500006198883,2.15000019967556,
,,,1.21,2.18500006198883,2.18125019595027,
,,,1.215,2.15625005960464,2.15000019967556,
,,,1.22,2.18500006198883,2.15000019967556,
,,,1.225,2.15625005960464,2.18125019595027,
,,,1.23,2.18500006198883,2.18125019595027,
,,,1.235,2.15625005960464,2.15000019967556,
,,,1.24,2.15625005960464,2.18125019595027,
,,,1.245,2.18500006198883,2.18125019595027,
,,,1.25,2.12750005722046,2.15000019967556,
,,,1.255,2.15625005960464,2.15000019967556,
,,,1.26,2.15625005960464,2.15000019967556,
,,,1.265,2.18500006198883,2.18125019595027,
,,,1.27,2.15625005960464,2.18125019595027,
,,,1.275,2.12750005722046,2.18125019595027,
,,,1.28,2.15625005960464,2.18125019595027,
,,,1.285,2.15625005960464,2.18125019595027,
,,,1.29,2.18500006198883,2.18125019595027,
,,,1.295,2.15625005960464,2.18125019595027,
,,,1.3,2.18500006198883,2.15000019967556,
,,,1.305,2.18500006198883,2.15000019967556,
,,,1.31,2.21375006437302,2.15000019967556,
,,,1.315,2.18500006198883,2.18125019595027,
,,,1.32,2.18500006198883,2.15000019967556,
,,,1.325,2.18500006198883,2.18125019595027,
,,,1.33,2.15625005960464,2.15000019967556,
,,,1.335,2.15625005960464,2.15000019967556,
,,,1.34,2.12750005722046,2.15000019967556,
,,,1.345,2.15625005960464,2.11875020340085,
,,,1.35,2.12750005722046,2.15000019967556,
,,,1.355,2.12750005722046,2.11875020340085,
,,,1.36,2.12750005722046,2.15000019967556,
,,,1.365,2.15625005960464,2.11875020340085,
,,,1.37,2.12750005722046,2.08750020712614,
,,,1.375,2.15625005960464,2.15000019967556,
,,,1.38,2.12750005722046,2.08750020712614,
,,,1.385,2.12750005722046,2.11875020340085,
,,,1.39,2.12750005722046,2.11875020340085,
,,,1.395,2.12750005722046,2.15000019967556,
,,,1.4,2.12750005722046,2.08750020712614,
,,,1.405,2.12750005722046,2.11875020340085,
,,,1.41,2.12750005722046,2.11875020340085,
,,,1.415,2.12750005722046,2.11875020340085,
,,,1.42,2.12750005722046,2.11875020340085,
,,,1.425,2.09875005483627,2.11875020340085,
,,,1.43,2.09875005483627,2.15000019967556,
,,,1.435,2.12750005722046,2.15000019967556,
,,,1.44,2.12750005722046,2.11875020340085,
,,,1.445,2.07000005245209,2.11875020340085,
,,,1.45,2.12750005722046,2.11875020340085,
,,,1.455,2.09875005483627,2.11875020340085,
,,,1.46,2.12750005722046,2.11875020340085,
,,,1.465,2.12750005722046,2.08750020712614,
,,,1.47,2.09875005483627,2.11875020340085,
,,,1.475,2.12750005722046,2.11875020340085,
,,,1.48,2.09875005483627,2.11875020340085,
,,,1.485,2.12750005722046,2.15000019967556,
,,,1.49,2.09875005483627,2.11875020340085,
,,,1.495,2.09875005483627,2.08750020712614,
,,,1.5,2.09875005483627,2.11875020340085,
,,,1.505,2.12750005722046,2.11875020340085,
,,,1.51,2.07000005245209,2.11875020340085,
,,,1.515,2.09875005483627,2.08750020712614,
,,,1.52,2.12750005722046,2.15000019967556,
,,,1.525,2.09875005483627,2.11875020340085,
