firmware_size,done,not_done,missing,attempts,duration_sec,0242.vcc,0242.ReadRate,0242.peak_rssi
407,1,0,0,6,23.7358137,3370,3.56329281037973,-20
407,0,1,0,10,31.0499287,3378,3.5594991642296,-19
407,1,0,0,8,32.180499,3390,3.55532422245948,-21
407,0,1,0,10,36.9413457,3378,3.53728492865473,-19
407,0,1,0,10,24.2864419,3144,3.59666689685335,-17
407,0,1,0,10,35.789189,3464,3.65908857226389,-18
407,0,1,0,10,34.6882918,3436,3.64376644477344,-18
407,0,1,0,10,32.7852545,3424,3.61176945642147,-20
407,0,1,0,10,29.9047129,3464,3.58097955547152,-18
407,1,0,0,8,25.1756444,3436,3.60309981883614,-18
407,0,1,0,10,25.5200051,3414,3.44747105589488,-19
407,0,1,0,10,35.1980845,3460,3.58904565840325,-19
407,0,1,0,10,40.6782078,3436,3.42836886094844,-19
407,0,1,0,10,40.5625797,3424,3.60999101112238,-19
407,0,1,0,10,30.3921825,3444,3.69372244483056,-18
407,0,1,0,10,24.3002061,3436,3.6134190821771,-19
407,0,1,0,10,29.7089178,3428,3.63795904676742,-18
407,1,0,0,5,23.3893529,3402,3.86853780103027,-18
407,1,0,0,7,24.7819381,3406,3.55820349152276,-19
407,0,1,0,10,27.5092971,3436,3.69202596232657,-18
407,0,1,0,10,34.4986244,3428,3.69014583456338,-19
407,0,1,0,10,28.5125867,3432,3.5226114668753,-19
407,0,1,0,10,36.5853235,3440,3.67865749601877,-20
407,0,1,0,10,37.5660293,3424,3.67321331231276,-18
407,0,1,0,10,27.1768342,3436,3.70988960110525,-18
407,1,0,0,4,23.2427272,3420,3.56181548584766,-18
407,0,1,0,10,35.3022248,3432,3.54871552467227,-18
407,0,1,0,10,28.6668595,3420,3.62827719602384,-19
407,0,1,0,10,31.51764,3448,3.47122304031235,-18
