firmware_size,done,not_done,missing,attempts,duration_sec,AA00.vcc,0235.vcc,0237.vcc,0238.vcc,0239.vcc,0240.vcc,0241.vcc,0242.vcc,AA00.ReadRate,0235.ReadRate,0237.ReadRate,0238.ReadRate,0239.ReadRate,0240.ReadRate,0241.ReadRate,0242.ReadRate,AA00.peak_rssi,0235.peak_rssi,0237.peak_rssi,0238.peak_rssi,0239.peak_rssi,0240.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,4,0,4,1,10.4042964,0,0,3832,0,3738,0,3920,3854,0,0,203.391584288138,0,79.958910991221,0,157.778821309371,176.494727934856,0,0,-16,0,-20,0,-17,-16
407,4,0,4,1,10.2036414,0,0,3796,0,3722,0,3940,3878,0,0,180.832215268925,0,90.8988281381721,0,115.227038278422,206.020565343865,0,0,-16,0,-19,0,-16,-16
407,4,0,4,1,10.3399811,0,0,3796,0,3722,0,3936,3832,0,0,133.99105663489,0,109.516965644723,0,172.922572208607,146.522207491856,0,0,-16,0,-18,0,-16,-17
407,4,0,4,1,10.737948,0,0,3792,0,3722,0,3944,3870,0,0,131.304432466562,0,158.884799957377,0,140.683862353768,201.498004599477,0,0,-18,0,-17,0,-16,-16
407,4,0,4,1,10.0316744,0,0,3834,0,3752,0,3910,3846,0,0,128.56091657849,0,107.934225275605,0,222.554976226325,134.300374452971,0,0,-17,0,-19,0,-16,-16
407,4,0,4,1,9.6352835,0,0,3834,0,3760,0,3906,3846,0,0,161.1620703407,0,100.586870678976,0,184.35984701059,174.58107369506,0,0,-17,0,-20,0,-17,-16
407,4,0,4,1,9.9019467,0,0,3812,0,3738,0,3928,3862,0,0,111.169472351316,0,124.921960660993,0,95.3440455481113,173.958560712078,0,0,-17,0,-16,0,-16,-16
407,4,0,4,1,11.0868195,0,0,3792,0,3718,0,3932,3878,0,0,176.561379817482,0,101.846960682999,0,71.722752405208,336.283648958635,0,0,-18,0,-17,0,-16,-16
407,4,0,4,1,9.939944,0,0,3862,0,3784,0,3866,3824,0,0,201.922280883316,0,146.13550895777,0,197.88202830616,219.967031840756,0,0,-16,0,-16,0,-16,-16
407,4,0,4,1,9.7076872,0,0,3858,0,3776,0,3878,3832,0,0,204.622459978935,0,192.055095684937,0,224.846981014326,153.265406233815,0,0,-18,0,-17,0,-16,-16
407,4,0,4,1,9.9495994,0,0,3842,0,3768,0,3902,3842,0,0,145.271027808334,0,111.646310810683,0,144.118660592756,194.453418584871,0,0,-16,0,-17,0,-16,-17
407,4,0,4,1,10.0162787,0,0,3842,0,3734,0,3928,3862,0,0,134.399713903913,0,92.513892665187,0,178.04601214877,179.972854256621,0,0,-19,0,-18,0,-16,-16
407,4,0,4,1,9.9034784,0,0,3812,0,3734,0,3928,3862,0,0,159.074688884554,0,93.6768241292764,0,163.781592177401,204.702364224577,0,0,-18,0,-17,0,-16,-16
407,4,0,4,1,10.5360388,0,0,3874,0,3760,0,3890,3834,0,0,136.539445004394,0,78.2788579305552,0,78.2137580098757,332.845192175182,0,0,-16,0,-18,0,-17,-16
407,4,0,4,1,9.4210837,0,0,3812,0,3734,0,3928,3862,0,0,98.6808443409348,0,64.1373272929785,0,148.757671487302,228.537024180005,0,0,-17,0,-17,0,-16,-16
407,4,0,4,1,9.9934763,0,0,3828,0,3750,0,3914,3850,0,0,138.398998423135,0,166.836332674395,0,156.845753474746,189.169877490451,0,0,-16,0,-18,0,-16,-16
407,4,0,4,1,10.1512683,0,0,3812,0,3742,0,3924,3870,0,0,148.432299340174,0,114.988958111586,0,167.922105354329,121.752557368283,0,0,-17,0,-19,0,-16,-16
407,4,0,4,1,9.5527476,0,0,3820,0,3742,0,3944,3858,0,0,205.01099849675,0,87.2904086181722,0,76.4412482855845,273.403512127798,0,0,-17,0,-18,0,-16,-16
407,4,0,4,1,10.0500775,0,0,3804,0,3726,0,3936,3870,0,0,136.770629682347,0,52.9690092772812,0,143.485811564417,314.612933728084,0,0,-18,0,-18,0,-16,-16
