Address:,USB0::0x0957::0x1754::MY44002304::0::INSTR,,Analog Channels,,,
Model:,MSO6104A,,Time (s),1 (VOLT),4 (VOLT),
,,,0.96,-0.0287501215934753,1.6500002592802,
,,,0.965,-0.0287501215934753,1.58750026673079,
,,,0.97,-1.19209289550781E-07,1.58750026673079,
,,,0.975,-0.0287501215934753,1.55625027045608,
,,,0.98,-0.0287501215934753,1.52500027418137,
,,,0.985,-0.0287501215934753,1.52500027418137,
,,,0.99,-0.0287501215934753,1.52500027418137,
,,,0.995,-0.0287501215934753,1.43125028535724,
,,,1,-0.0287501215934753,1.49375027790666,
,,,1.005,-0.0287501215934753,1.46250028163195,
,,,1.01,-0.0287501215934753,1.43125028535724,
,,,1.015,-1.19209289550781E-07,1.40000028908253,
,,,1.02,-0.0287501215934753,1.36875029280782,
,,,1.025,-0.0287501215934753,1.43125028535724,
,,,1.03,-1.19209289550781E-07,1.36875029280782,
,,,1.035,-0.0287501215934753,1.33750029653311,
,,,1.04,-0.0575001239776611,1.33750029653311,
,,,1.045,-0.0287501215934753,1.24375030770898,
,,,1.05,-0.0287501215934753,1.21250031143427,
,,,1.055,-0.0575001239776611,1.18125031515956,
,,,1.06,-0.0575001239776611,1.11875032261014,
,,,1.065,-1.19209289550781E-07,1.15000031888485,
,,,1.07,-0.0575001239776611,1.08750032633543,
,,,1.075,-0.0287501215934753,1.11875032261014,
,,,1.08,-0.0287501215934753,1.08750032633543,
,,,1.085,-0.0575001239776611,1.02500033378601,
,,,1.09,-0.0287501215934753,1.05625033006072,
,,,1.095,-0.0287501215934753,0.993750337511301,
,,,1.1,-0.0287501215934753,1.02500033378601,
,,,1.105,-0.0287501215934753,1.02500033378601,
,,,1.11,-0.0287501215934753,1.02500033378601,
,,,1.115,-0.0287501215934753,1.02500033378601,
,,,1.12,-0.0287501215934753,1.02500033378601,
,,,1.125,-0.0287501215934753,0.993750337511301,
,,,1.13,-0.0287501215934753,0.993750337511301,
,,,1.135,-0.0287501215934753,0.962500341236591,
,,,1.14,-0.0287501215934753,0.993750337511301,
,,,1.145,-0.0287501215934753,0.962500341236591,
,,,1.15,-0.0287501215934753,0.962500341236591,
,,,1.155,-0.0287501215934753,0.993750337511301,
,,,1.16,-0.0287501215934753,0.962500341236591,
,,,1.165,-1.19209289550781E-07,0.962500341236591,
,,,1.17,-0.0575001239776611,0.962500341236591,
,,,1.175,-0.0287501215934753,0.993750337511301,
,,,1.18,-0.0575001239776611,0.962500341236591,
,,,1.185,-0.0287501215934753,0.993750337511301,
,,,1.19,-0.0287501215934753,0.962500341236591,
,,,1.195,-0.0287501215934753,0.931250344961882,
,,,1.2,-0.0287501215934753,0.931250344961882,
,,,1.205,-0.0575001239776611,0.962500341236591,
,,,1.21,-0.0287501215934753,0.962500341236591,
,,,1.215,-1.19209289550781E-07,0.931250344961882,
,,,1.22,-0.0287501215934753,0.900000348687172,
,,,1.225,-0.0287501215934753,0.931250344961882,
,,,1.23,-0.0287501215934753,0.900000348687172,
,,,1.235,-0.0287501215934753,0.900000348687172,
,,,1.24,-0.0575001239776611,0.931250344961882,
,,,1.245,-0.0575001239776611,0.900000348687172,
,,,1.25,-0.0287501215934753,0.931250344961882,
,,,1.255,-0.0287501215934753,0.900000348687172,
,,,1.26,-0.0287501215934753,0.931250344961882,
,,,1.265,-0.0287501215934753,0.900000348687172,
,,,1.27,-0.0287501215934753,0.931250344961882,
,,,1.275,-0.0287501215934753,0.931250344961882,
,,,1.28,-0.0287501215934753,0.931250344961882,
,,,1.285,-0.0287501215934753,0.931250344961882,
,,,1.29,-0.0287501215934753,0.868750352412462,
,,,1.295,-0.0287501215934753,2.05625021085143,
,,,1.3,2.12750005722046,2.15000019967556,
,,,1.305,2.12750005722046,2.11875020340085,
,,,1.31,2.09875005483627,2.08750020712614,
,,,1.315,2.07000005245209,2.02500021457672,
,,,1.32,1.98375004529953,2.02500021457672,
,,,1.325,1.98375004529953,1.9625002220273,
,,,1.33,1.95500004291534,1.99375021830201,
,,,1.335,1.95500004291534,1.90000022947788,
,,,1.34,1.89750003814697,1.93125022575259,
,,,1.345,1.86875003576279,1.90000022947788,
,,,1.35,1.8400000333786,1.83750023692846,
,,,1.355,1.8400000333786,1.80625024065375,
,,,1.36,-0.0287501215934753,1.80625024065375,
,,,1.365,-0.0575001239776611,1.77500024437904,
,,,1.37,-0.0287501215934753,1.74375024810433,
,,,1.375,-0.0287501215934753,1.71250025182962,
,,,1.38,-1.19209289550781E-07,1.68125025555491,
,,,1.385,-1.19209289550781E-07,1.68125025555491,
,,,1.39,-0.0287501215934753,1.68125025555491,
,,,1.395,-1.19209289550781E-07,1.6500002592802,
,,,1.4,-0.0287501215934753,1.6500002592802,
,,,1.405,-0.0287501215934753,1.6187502630055,
,,,1.41,-0.0287501215934753,1.58750026673079,
,,,1.415,-0.0287501215934753,1.55625027045608,
,,,1.42,-0.0287501215934753,1.55625027045608,
,,,1.425,-1.19209289550781E-07,1.52500027418137,
,,,1.43,-0.0287501215934753,1.49375027790666,
,,,1.435,-1.19209289550781E-07,1.46250028163195,
,,,1.44,-0.0575001239776611,1.49375027790666,
,,,1.445,-0.0575001239776611,1.49375027790666,
,,,1.45,-0.0575001239776611,1.46250028163195,
,,,1.455,-0.0287501215934753,1.43125028535724,
,,,1.46,-0.0287501215934753,1.46250028163195,
,,,1.465,-0.0287501215934753,1.40000028908253,
,,,1.47,-0.0287501215934753,1.36875029280782,
,,,1.475,-0.0287501215934753,1.36875029280782,
,,,1.48,-0.0287501215934753,1.36875029280782,
,,,1.485,-0.0575001239776611,1.3062503002584,
,,,1.49,-0.0287501215934753,1.27500030398369,
,,,1.495,-0.0287501215934753,1.21250031143427,
,,,1.5,-0.0575001239776611,1.18125031515956,
,,,1.505,-0.0575001239776611,1.11875032261014,
,,,1.51,-0.0287501215934753,1.08750032633543,
,,,1.515,-0.0287501215934753,1.08750032633543,
,,,1.52,-0.0287501215934753,1.08750032633543,
,,,1.525,-0.0575001239776611,1.08750032633543,
,,,1.53,-0.0575001239776611,1.08750032633543,
,,,1.535,-1.19209289550781E-07,1.05625033006072,
,,,1.54,-0.0287501215934753,1.02500033378601,
,,,1.545,-1.19209289550781E-07,0.993750337511301,
,,,1.55,-0.0287501215934753,1.02500033378601,
,,,1.555,-0.0287501215934753,1.02500033378601,
,,,1.56,-0.0287501215934753,1.02500033378601,
,,,1.565,-0.0287501215934753,1.02500033378601,
,,,1.57,-0.0287501215934753,1.02500033378601,
,,,1.575,-1.19209289550781E-07,1.02500033378601,
,,,1.58,-1.19209289550781E-07,0.993750337511301,
,,,1.585,-0.0575001239776611,0.993750337511301,
,,,1.59,-0.0287501215934753,0.962500341236591,
,,,1.595,-0.0287501215934753,0.962500341236591,
