Address:,USB0::0x0957::0x1754::MY44002304::0::INSTR,,Analog Channels,,,
Model:,MSO6104A,,Time (s),1 (VOLT),4 (VOLT),
,,,0.27,-0.0287501215934753,1.71250025182962,
,,,0.271,-1.19209289550781E-07,1.71250025182962,
,,,0.272,-1.19209289550781E-07,1.74375024810433,
,,,0.273,-0.0287501215934753,1.68125025555491,
,,,0.274,-0.0287501215934753,1.71250025182962,
,,,0.275,-0.0287501215934753,1.71250025182962,
,,,0.276,-0.0287501215934753,1.71250025182962,
,,,0.277,-1.19209289550781E-07,1.71250025182962,
,,,0.278,-1.19209289550781E-07,1.71250025182962,
,,,0.279,-1.19209289550781E-07,1.68125025555491,
,,,0.28,-1.19209289550781E-07,1.68125025555491,
,,,0.281,-1.19209289550781E-07,1.68125025555491,
,,,0.282,-1.19209289550781E-07,1.68125025555491,
,,,0.283,-0.0287501215934753,1.68125025555491,
,,,0.284,-1.19209289550781E-07,1.68125025555491,
,,,0.285,-1.19209289550781E-07,1.68125025555491,
,,,0.286,-0.0287501215934753,1.6500002592802,
,,,0.287,-0.0287501215934753,1.71250025182962,
,,,0.288,0.0287498831748962,1.68125025555491,
,,,0.289,-0.0287501215934753,1.68125025555491,
,,,0.29,-1.19209289550781E-07,1.6500002592802,
,,,0.291,-1.19209289550781E-07,1.68125025555491,
,,,0.292,-1.19209289550781E-07,1.6500002592802,
,,,0.293,-1.19209289550781E-07,1.6500002592802,
,,,0.294,-0.0287501215934753,1.6500002592802,
,,,0.295,-0.0287501215934753,1.68125025555491,
,,,0.296,-1.19209289550781E-07,1.6187502630055,
,,,0.297,-0.0287501215934753,1.6500002592802,
,,,0.298,-0.0287501215934753,1.6500002592802,
,,,0.299,-0.0287501215934753,1.6500002592802,
,,,0.3,-1.19209289550781E-07,1.6500002592802,
,,,0.301,-1.19209289550781E-07,1.6187502630055,
,,,0.302,-0.0287501215934753,1.6187502630055,
,,,0.303,0.0287498831748962,1.6187502630055,
,,,0.304,-1.19209289550781E-07,1.6500002592802,
,,,0.305,-0.0287501215934753,1.6187502630055,
,,,0.306,-0.0287501215934753,1.6187502630055,
,,,0.307,-0.0287501215934753,1.6187502630055,
,,,0.308,-1.19209289550781E-07,1.58750026673079,
,,,0.309,-0.0287501215934753,1.6187502630055,
,,,0.31,-0.0287501215934753,1.58750026673079,
,,,0.311,-1.19209289550781E-07,1.55625027045608,
,,,0.312,-0.0287501215934753,1.6187502630055,
,,,0.313,-0.0287501215934753,1.55625027045608,
,,,0.314,-0.0287501215934753,1.58750026673079,
,,,0.315,-1.19209289550781E-07,1.55625027045608,
,,,0.316,-1.19209289550781E-07,1.55625027045608,
,,,0.317,-1.19209289550781E-07,1.58750026673079,
,,,0.318,-1.19209289550781E-07,1.58750026673079,
,,,0.319,-1.19209289550781E-07,1.55625027045608,
,,,0.32,-0.0287501215934753,1.55625027045608,
,,,0.321,0.0287498831748962,1.55625027045608,
,,,0.322,-0.0287501215934753,1.55625027045608,
,,,0.323,-1.19209289550781E-07,1.55625027045608,
,,,0.324,-1.19209289550781E-07,1.52500027418137,
,,,0.325,-1.19209289550781E-07,1.55625027045608,
,,,0.326,-1.19209289550781E-07,1.55625027045608,
,,,0.327,-1.19209289550781E-07,1.52500027418137,
,,,0.328,-1.19209289550781E-07,1.52500027418137,
,,,0.329,-0.0287501215934753,1.52500027418137,
,,,0.33,-1.19209289550781E-07,1.52500027418137,
,,,0.331,-0.0287501215934753,1.52500027418137,
,,,0.332,-0.0287501215934753,1.52500027418137,
,,,0.333,-1.19209289550781E-07,1.49375027790666,
,,,0.334,-0.0287501215934753,1.49375027790666,
,,,0.335,-1.19209289550781E-07,1.49375027790666,
,,,0.336,-1.19209289550781E-07,1.49375027790666,
,,,0.337,-1.19209289550781E-07,1.52500027418137,
,,,0.338,-0.0287501215934753,1.49375027790666,
,,,0.339,-1.19209289550781E-07,1.49375027790666,
,,,0.34,-1.19209289550781E-07,1.49375027790666,
,,,0.341,-1.19209289550781E-07,1.46250028163195,
,,,0.342,-1.19209289550781E-07,1.46250028163195,
,,,0.343,-0.0287501215934753,1.46250028163195,
,,,0.344,-0.0287501215934753,1.43125028535724,
,,,0.345,-0.0287501215934753,1.49375027790666,
,,,0.346,-1.19209289550781E-07,1.46250028163195,
,,,0.347,-1.19209289550781E-07,1.49375027790666,
,,,0.348,-1.19209289550781E-07,1.43125028535724,
,,,0.349,-1.19209289550781E-07,1.49375027790666,
,,,0.35,-1.19209289550781E-07,1.46250028163195,
,,,0.351,-0.0287501215934753,1.46250028163195,
,,,0.352,-1.19209289550781E-07,1.46250028163195,
,,,0.353,-1.19209289550781E-07,1.43125028535724,
,,,0.354,-1.19209289550781E-07,1.43125028535724,
,,,0.355,-1.19209289550781E-07,1.43125028535724,
,,,0.356,-1.19209289550781E-07,1.46250028163195,
,,,0.357,-0.0287501215934753,1.40000028908253,
,,,0.358,-1.19209289550781E-07,1.46250028163195,
,,,0.359,-1.19209289550781E-07,1.36875029280782,
,,,0.36,-1.19209289550781E-07,1.46250028163195,
,,,0.361,-0.0287501215934753,1.43125028535724,
,,,0.362,-0.0287501215934753,1.40000028908253,
,,,0.363,-1.19209289550781E-07,1.40000028908253,
,,,0.364,-1.19209289550781E-07,1.43125028535724,
,,,0.365,-1.19209289550781E-07,1.43125028535724,
,,,0.366,-1.19209289550781E-07,1.43125028535724,
,,,0.367,-1.19209289550781E-07,1.40000028908253,
,,,0.368,0.0287498831748962,1.40000028908253,
,,,0.369,-0.0287501215934753,1.36875029280782,
,,,0.37,-1.19209289550781E-07,1.36875029280782,
,,,0.371,-0.0287501215934753,1.40000028908253,
,,,0.372,-1.19209289550781E-07,1.36875029280782,
,,,0.373,-0.0287501215934753,1.36875029280782,
,,,0.374,-1.19209289550781E-07,1.40000028908253,
,,,0.375,-1.19209289550781E-07,1.36875029280782,
,,,0.376,-1.19209289550781E-07,1.33750029653311,
,,,0.377,-0.0287501215934753,1.36875029280782,
,,,0.378,-0.0287501215934753,1.36875029280782,
,,,0.379,-1.19209289550781E-07,1.33750029653311,
,,,0.38,-1.19209289550781E-07,1.36875029280782,
,,,0.381,-0.0287501215934753,1.33750029653311,
,,,0.382,-0.0287501215934753,1.33750029653311,
,,,0.383,-1.19209289550781E-07,1.33750029653311,
,,,0.384,-0.0287501215934753,1.3062503002584,
,,,0.385,-0.0287501215934753,1.3062503002584,
,,,0.386,-1.19209289550781E-07,1.3062503002584,
,,,0.387,-1.19209289550781E-07,1.27500030398369,
,,,0.388,-1.19209289550781E-07,1.24375030770898,
,,,0.389,-1.19209289550781E-07,1.24375030770898,
,,,0.39,-1.19209289550781E-07,1.21250031143427,
,,,0.391,-1.19209289550781E-07,1.21250031143427,
,,,0.392,-0.0287501215934753,1.24375030770898,
,,,0.393,-1.19209289550781E-07,1.21250031143427,
,,,0.394,-0.0287501215934753,1.18125031515956,
,,,0.395,-0.0287501215934753,1.18125031515956,
,,,0.396,-0.0287501215934753,1.18125031515956,
,,,0.397,-1.19209289550781E-07,1.21250031143427,
,,,0.398,-1.19209289550781E-07,1.18125031515956,
,,,0.399,-0.0287501215934753,1.15000031888485,
,,,0.4,-1.19209289550781E-07,1.21250031143427,
,,,0.401,-0.0287501215934753,1.18125031515956,
,,,0.402,-0.0287501215934753,1.18125031515956,
,,,0.403,-1.19209289550781E-07,1.15000031888485,
,,,0.404,-1.19209289550781E-07,1.18125031515956,
,,,0.405,-1.19209289550781E-07,1.18125031515956,
,,,0.406,-1.19209289550781E-07,1.11875032261014,
,,,0.407,-1.19209289550781E-07,1.15000031888485,
,,,0.408,-1.19209289550781E-07,1.15000031888485,
,,,0.409,-1.19209289550781E-07,1.15000031888485,
,,,0.41,-0.0287501215934753,1.15000031888485,
,,,0.411,-1.19209289550781E-07,1.11875032261014,
,,,0.412,-1.19209289550781E-07,1.11875032261014,
,,,0.413,-1.19209289550781E-07,1.11875032261014,
,,,0.414,0.0287498831748962,1.11875032261014,
,,,0.415,-1.19209289550781E-07,1.08750032633543,
,,,0.416,-1.19209289550781E-07,1.11875032261014,
,,,0.417,-0.0287501215934753,1.08750032633543,
,,,0.418,-1.19209289550781E-07,1.08750032633543,
,,,0.419,-1.19209289550781E-07,1.08750032633543,
,,,0.42,-1.19209289550781E-07,1.11875032261014,
,,,0.421,-0.0287501215934753,1.08750032633543,
,,,0.422,-0.0287501215934753,1.11875032261014,
,,,0.423,0.0287498831748962,1.77500024437904,
,,,0.424,-0.0287501215934753,2.08750020712614,
,,,0.425,2.21375006437302,2.18125019595027,
,,,0.426,2.21375006437302,2.21250019222498,
,,,0.427,2.18500006198883,2.21250019222498,
,,,0.428,2.18500006198883,2.18125019595027,
,,,0.429,2.18500006198883,2.18125019595027,
,,,0.43,2.15625005960464,2.21250019222498,
,,,0.431,2.21375006437302,2.18125019595027,
,,,0.432,2.18500006198883,2.18125019595027,
,,,0.433,2.15625005960464,2.18125019595027,
,,,0.434,2.12750005722046,2.15000019967556,
,,,0.435,2.15625005960464,2.11875020340085,
,,,0.436,2.15625005960464,2.11875020340085,
,,,0.437,2.12750005722046,2.18125019595027,
,,,0.438,2.15625005960464,2.15000019967556,
,,,0.439,2.09875005483627,2.11875020340085,
,,,0.44,2.12750005722046,2.08750020712614,
,,,0.441,2.12750005722046,2.08750020712614,
